id;ref;type;nbr_branch_boitier;nbr_branch_arduino;code
1;42638;Plastic;6039;51812;Account recontextualize
2;38990;back-end;97939;6203;initiatives a productize
3;92145;Loan payment;69969;72131;visualize haptic
4;10000;Krone robust;34536;20427;transitional IB
5;88803;recontextualize Dollar digital;49182;44090;embrace Hat
6;87498;Steel;84719;23713;Intelligent
7;68023;program Picardie firewall;7219;65355;b
8;57717;Mouse Danemark Intelligent;13089;64155;Phased Shoes
9;1192;strategize ROI;59782;40443;Assistant flexibility
10;71267;Home Steel b;5952;50712;overriding
