id;lebelle;photo;photo_content_type
1;robust SCSI Shirt;../fake-data/blob/hipster.png;image/png
2;GB red;../fake-data/blob/hipster.png;image/png
3;Haute-Normandie b Architecte;../fake-data/blob/hipster.png;image/png
4;initiatives Cotton;../fake-data/blob/hipster.png;image/png
5;de Computers;../fake-data/blob/hipster.png;image/png
6;Frozen Berkshire haptic;../fake-data/blob/hipster.png;image/png
7;connecting Keyboard Assistant;../fake-data/blob/hipster.png;image/png
8;clear-thinking;../fake-data/blob/hipster.png;image/png
9;port;../fake-data/blob/hipster.png;image/png
10;de invoice Berkshire;../fake-data/blob/hipster.png;image/png
