id;surface;photo;photo_content_type;libelle
1;87797;../fake-data/blob/hipster.png;image/png;Mouse drive Games
2;4676;../fake-data/blob/hipster.png;image/png;Sports
3;7050;../fake-data/blob/hipster.png;image/png;Monsieur-le-Prince Champagne-Ardenne Saint-Jacques
4;71220;../fake-data/blob/hipster.png;image/png;Towels
5;94603;../fake-data/blob/hipster.png;image/png;Rhône-Alpes foreground
6;72399;../fake-data/blob/hipster.png;image/png;programming
7;50948;../fake-data/blob/hipster.png;image/png;deposit utilisation mobile
8;59006;../fake-data/blob/hipster.png;image/png;homogeneous Slovénie
9;21649;../fake-data/blob/hipster.png;image/png;Intelligent
10;41008;../fake-data/blob/hipster.png;image/png;b Borders
