id;type;valeur;unite;date
1;Jewelery overriding;83746;HDD;2022-04-27T14:14:59
2;Pizza bandwidth Peso;8580;Directeur;2022-04-27T12:08:14
3;a;41014;Keyboard parse invoice;2022-04-27T21:39:06
4;green Practical;87304;Île-de-France;2022-04-27T11:32:55
5;Account Pula virtual;51400;Rustic;2022-04-27T09:36:21
6;transmitter Midi-Pyrénées;77619;feed des Cap-Vert;2022-04-27T15:34:09
7;c;52138;clear-thinking Extended;2022-04-28T02:40:07
8;program Suède Faubourg-Saint-Denis;36313;cross-platform;2022-04-27T12:50:15
9;a orchid;52425;turn-key Sausages compress;2022-04-27T06:39:10
10;Mouse;53771;seamless Fresh sky;2022-04-27T09:20:25
